"","draw","site_encoded","Intercept","slope"
"125",2160,"2",3.08040145974826,0.0956503893861993
"126",2397,"2",2.92295927656082,0.0956656990834125
"127",2447,"2",3.13390042699197,0.0886750720803387
"128",2487,"2",2.70374066242155,0.0944955820712853
"129",2543,"2",3.12341207622878,0.0939645474794351
"130",2587,"2",3.05685669481913,0.0931680175584048
"131",2610,"2",2.64800101034923,0.0835041175447975
"132",2652,"2",3.66876781871537,0.0915886000355186
"133",2690,"2",3.08710344039821,0.0944703135559161
"134",2717,"2",3.1178591891723,0.102631028212823
"135",2721,"2",2.98541921237309,0.09421893376696
"136",2750,"2",3.1909528595173,0.0868185851447773
"137",2784,"2",2.83727593752159,0.0934366610994917
"138",2790,"2",2.87217646401,0.100497935092732
"139",2861,"2",2.97502739805809,0.0884066457934836
"140",3373,"2",3.09411291711308,0.0862893428430755
"141",3388,"2",3.12376693068887,0.0903730213072337
"142",3395,"2",3.15770233508237,0.0844847196925705
"143",3417,"2",2.92556282396436,0.0932815850406161
"144",3468,"2",2.79596317758424,0.0881023731159813
"145",3515,"2",3.28453990087209,0.0908095220999566
"146",3846,"2",3.17089666071511,0.0897235434512248
"147",3882,"2",3.10412329695708,0.0875303990192752
"148",3888,"2",2.69757697218757,0.0888463213570438
"149",3931,"2",2.99675120768517,0.0950595763320419
"150",3985,"2",2.91311198126048,0.0953029208123747
"151",174,"3",3.07399767936563,0.088759934908158
"152",233,"3",3.04847021418418,0.085257192037424
"153",566,"3",3.178249607309,0.0839053185549181
"154",641,"3",3.15033916983335,0.0883752502410684
"155",658,"3",3.36297071992832,0.0943426041991215
"156",708,"3",3.29235111946908,0.0881008942244424
"157",794,"3",2.86870526335057,0.0880502618239281
"158",820,"3",2.68592517208976,0.0958460616966339
"159",865,"3",2.94077502725229,0.0942875673392294
"160",1008,"3",3.15247371910859,0.0975106160316504
"161",1106,"3",2.77586142803214,0.0937326576470975
"162",1118,"3",3.1773644433473,0.0932226327217183
"163",1340,"3",3.17367804094803,0.0914111457435168
"164",1491,"3",2.71598472935334,0.108594564220024
"165",1494,"3",2.7230011995149,0.0912603452592169
"166",1553,"3",3.15983379946096,0.0973203081643396
"167",1560,"3",3.1345979074877,0.0899439166141489
"168",1620,"3",3.09833941115437,0.0883137042215826
"169",1796,"3",2.39713572727976,0.0996404394747735
"170",1886,"3",3.42297279837545,0.0900406643363549
"171",1957,"3",2.8918197891045,0.0976348274552637
"172",1975,"3",2.92123763657371,0.0968272896316515
"173",2083,"3",2.90283474174258,0.0912014366810549
"174",2113,"3",2.90415952688981,0.0896669585955578
"175",2160,"3",3.06320192749293,0.0826723749149294
"176",2397,"3",2.89148814463156,0.0942563831410612
"177",2447,"3",3.14149036869847,0.0984047364397486
"178",2487,"3",2.86099403759183,0.0958460616966339
"179",2543,"3",3.04203806234719,0.0873452127631726
"180",2587,"3",3.00275400115637,0.0894566074618607
"181",2610,"3",2.86478343807633,0.0922399882243658
"182",2652,"3",3.46609196178944,0.0888608675338461
"183",2690,"3",3.11259394291963,0.101288536242367
"184",2717,"3",3.09078057143874,0.0889444847382976
"185",2721,"3",2.84330377172898,0.093512298615098
"186",2750,"3",2.86165055919023,0.0908628106148184
"187",2784,"3",2.83335782732334,0.0940233651254237
"188",2790,"3",2.87169017804079,0.0946595805819129
"189",2861,"3",2.79507046461264,0.102132755691924
